일시,padding_F,padding_M
2019-01-01,21.68946,23.65537
2019-01-02,22.06136,20.80593
2019-01-03,19.25222,17.91434
2019-01-04,17.02749,15.3684
2019-01-05,18.44866,15.66346
2019-01-06,17.78456,16.97015
2019-01-07,19.6374,16.85213
2019-01-08,19.3784,18.36958
2019-01-09,18.64125,17.32422
2019-01-10,15.00863,14.63496
2019-01-11,13.08274,12.29978
2019-01-12,13.38823,13.05007
2019-01-13,14.57696,14.22188
2019-01-14,13.08274,11.60849
2019-01-15,13.13587,11.72652
2019-01-16,14.2914,12.55268
2019-01-17,12.62451,11.37244
2019-01-18,11.00411,10.26808
2019-01-19,12.2659,10.8582
2019-01-20,14.13202,16.87742
2019-01-21,12.89015,13.22711
2019-01-22,12.85031,10.68116
2019-01-23,11.50219,9.13842
2019-01-24,9.9814,8.50615
2019-01-25,10.00796,8.12679
2019-01-26,12.2327,9.63581
2019-01-27,12.07331,10.68959
2019-01-28,11.49555,8.87708
2019-01-29,10.41971,9.31546
2019-01-30,9.3173,7.56196
2019-01-31,9.2044,7.47765
2019-02-01,8.66648,7.64626
2019-02-02,8.60672,7.4355
2019-02-03,8.46725,6.92126
2019-02-04,7.27188,6.68521
2019-02-05,7.30508,7.08143
2019-02-06,8.28131,6.82852
2019-02-07,9.26417,6.97184
2019-02-08,10.02125,7.03928
2019-02-09,10.96427,8.03405
2019-02-10,10.73183,9.45034
2019-02-11,9.56966,7.33434
2019-02-12,9.16456,6.76108
2019-02-13,9.01182,6.33114
2019-02-14,8.19497,6.2384
2019-02-15,7.71682,5.52183
2019-02-16,9.31066,6.94655
2019-02-17,9.4302,7.14887
2019-02-18,9.13799,9.20586
2019-02-19,8.51374,6.9887
2019-02-20,7.60393,6.06137
2019-02-21,6.78708,5.08345
2019-02-22,6.28237,4.54392
2019-02-23,6.30229,4.957
2019-02-24,5.79758,4.79683
2019-02-25,5.62491,4.67037
2019-02-26,4.62876,4.0381
2019-02-27,4.2303,3.43955
2019-02-28,3.65918,2.95902
2019-03-01,4.15061,3.70089
2019-03-02,3.57285,3.13606
2019-03-03,3.77872,3.6756
2019-03-04,3.57949,3.81891
2019-03-05,3.33377,2.9253
2019-03-06,3.04157,2.57123
2019-03-07,2.88218,2.3689
2019-03-08,2.66303,2.39419
2019-03-09,3.11462,2.69769
2019-03-10,3.00172,2.69769
2019-03-11,3.18767,2.6471
2019-03-12,4.32328,3.58286
2019-03-13,5.33935,4.05496
2019-03-14,3.87169,2.9253
2019-03-15,3.60605,2.33518
2019-03-16,3.38026,2.84943
2019-03-17,2.75601,2.67239
2019-03-18,3.10798,2.40263
2019-03-19,1.99893,2.22559
2019-03-20,2.40403,2.08227
2019-03-21,3.17439,2.44478
2019-03-22,4.55571,3.42269
2019-03-23,3.69903,2.55437
2019-03-24,3.17439,2.55437
2019-03-25,2.76929,2.116
2019-03-26,2.11183,1.43314
2019-03-27,1.83955,1.69448
2019-03-28,1.72665,1.52588
2019-03-29,1.42117,1.66076
2019-03-30,2.49037,2.51222
2019-03-31,3.51308,2.94216
2019-04-01,4.04436,3.11077
2019-04-02,3.11462,2.44478
2019-04-03,2.56342,1.90524
2019-04-04,1.85283,1.57646
2019-04-05,1.56727,1.23925
2019-04-06,1.5075,1.50059
2019-04-07,1.25514,1.34884
2019-04-08,1.03599,1.28983
2019-04-09,1.60711,1.61861
2019-04-10,2.69624,2.39419
2019-04-11,1.50086,1.25611
2019-04-12,1.22194,0.98634
2019-04-13,1.07584,1.23925
2019-04-14,1.30827,1.50902
2019-04-15,1.14224,1.27297
2019-04-16,0.74379,1.16337
2019-04-17,0.75707,1.05378
2019-04-18,1.00278,0.83459
2019-04-19,0.75043,0.94419
2019-04-20,0.79691,0.94419
2019-04-21,0.61761,1.03692
2019-04-22,0.81684,1.01163
2019-04-23,0.78363,0.85145
2019-04-24,0.71058,0.92733
2019-04-25,0.73714,0.8093
2019-04-26,1.07584,1.02849
2019-04-27,0.75707,0.99477
2019-04-28,0.76371,0.97791
2019-04-29,0.8102,0.99477
2019-04-30,0.69066,0.79244
2019-05-01,0.62425,0.85988
2019-05-02,0.72386,0.86831
2019-05-03,0.5512,0.74186
2019-05-04,0.51799,0.9189
2019-05-05,0.60432,0.76715
2019-05-06,0.78363,0.87674
2019-05-07,0.74379,0.88517
2019-05-08,0.90317,0.85988
2019-05-09,1.1356,0.85988
2019-05-10,0.63089,0.74186
2019-05-11,0.70394,0.80087
2019-05-12,0.94302,0.9189
2019-05-13,0.85668,0.81773
2019-05-14,0.68402,0.94419
2019-05-15,0.6973,0.8093
2019-05-16,0.68402,0.9189
2019-05-17,0.8102,0.83459
2019-05-18,0.59104,0.87674
2019-05-19,0.74379,1.07907
2019-05-20,0.8102,0.79244
2019-05-21,0.88325,1.05378
2019-05-22,0.87661,1.02849
2019-05-23,0.75043,0.71657
2019-05-24,0.5512,0.91047
2019-05-25,0.61761,0.87674
2019-05-26,0.94302,1.03692
2019-05-27,0.94966,0.98634
2019-05-28,0.89653,1.27297
2019-05-29,1.00278,1.07064
2019-05-30,0.92309,0.93576
2019-05-31,0.78363,0.61541
2019-06-01,0.60432,1.04535
2019-06-02,0.81684,1.15494
2019-06-03,1.01607,1.04535
2019-06-04,0.87661,0.87674
2019-06-05,1.10904,0.8936
2019-06-06,1.06919,0.96948
2019-06-07,0.98286,0.8936
2019-06-08,0.86332,1.23082
2019-06-09,1.12232,2.77356
2019-06-10,0.88325,1.16337
2019-06-11,0.81684,1.20553
2019-06-12,0.92309,0.93576
2019-06-13,0.9895,0.94419
2019-06-14,0.8434,0.87674
2019-06-15,0.90317,1.09593
2019-06-16,1.16881,1.3657
2019-06-17,1.12896,1.22239
2019-06-18,1.1356,1.68605
2019-06-19,1.14224,1.26454
2019-06-20,0.9563,1.23925
2019-06-21,0.88989,0.96105
2019-06-22,1.05591,1.38256
2019-06-23,1.07584,1.35727
2019-06-24,0.99614,1.52588
2019-06-25,1.18209,1.34041
2019-06-26,1.22194,1.26454
2019-06-27,1.07584,1.37413
2019-06-28,0.9895,1.24768
2019-06-29,1.24186,1.40785
2019-06-30,1.20865,1.7282
2019-07-01,1.16217,1.20553
2019-07-02,1.3614,1.42471
2019-07-03,1.18209,1.52588
2019-07-04,1.18209,1.41628
2019-07-05,0.98286,1.26454
2019-07-06,1.2485,1.89681
2019-07-07,1.37468,1.87995
2019-07-08,1.14889,1.6439
2019-07-09,1.26842,1.20553
2019-07-10,1.23522,1.5596
2019-07-11,1.41453,1.52588
2019-07-12,1.2153,1.3657
2019-07-13,1.33483,1.71977
2019-07-14,1.71337,2.06541
2019-07-15,1.45437,1.69448
2019-07-16,1.40124,1.9221
2019-07-17,1.32155,1.61861
2019-07-18,1.42781,1.82094
2019-07-19,1.41453,1.67762
2019-07-20,1.58055,2.04855
2019-07-21,1.95245,2.24245
2019-07-22,1.60047,2.21716
2019-07-23,1.72665,2.02326
2019-07-24,2.15168,2.29303
2019-07-25,2.88882,3.43112
2019-07-26,2.31106,2.49536
2019-07-27,2.0255,2.24245
2019-07-28,2.32434,2.59652
2019-07-29,2.08527,2.21716
2019-07-30,2.08527,2.39419
2019-07-31,2.08527,2.10757
2019-08-01,2.27785,2.21716
2019-08-02,2.01886,2.27617
2019-08-03,2.15168,2.31832
2019-08-04,2.42396,2.73141
2019-08-05,2.6099,2.63024
2019-08-06,2.90875,3.09391
2019-08-07,2.80249,2.49536
2019-08-08,2.68295,2.66396
2019-08-09,2.92203,3.30467
2019-08-10,2.61654,2.98431
2019-08-11,3.1279,3.46484
2019-08-12,3.25408,2.91687
2019-08-13,4.46938,4.43432
2019-08-14,3.40018,3.6756
2019-08-15,4.70846,3.75147
2019-08-16,3.87833,3.22036
2019-08-17,3.65254,3.82734
2019-08-18,4.051,4.61136
2019-08-19,4.56235,4.51863
2019-08-20,4.02443,4.43432
2019-08-21,3.97131,4.16455
2019-08-22,3.9381,4.01281
2019-08-23,3.31385,3.53228
2019-08-24,4.13069,3.97909
2019-08-25,5.53194,4.957
2019-08-26,4.4893,5.20991
2019-08-27,4.60884,4.6788
